546, 11224500
547, 11043139
548, 10968753
553, 10838531
554, 11232819
557, 11135721
558, 11151091
559, 11281290
562, 9847579
563, 11256654
564, 11452476
565, 11503946
566, 11478597
569, 11256431
570, 11485276
571, 11623859
572, 11363719
573, 11442033
577, 11455269
578, 11837131
579, 11743558
580, 11895363
581, 11126588
582, 11764017
583, 11763837
584, 11280233
585, 12098452
586, 11938591
589, 12012140
590, 12100680
591, 12012476
592, 12051422
593, 11824349
594, 12045391
595, 11814628
596, 11868970
597, 12169710
598, 11847038
599, 12357030
600, 12104989
601, 12438894
602, 11892831
603, 11718646
604, 12351257
605, 12465204
606, 11435572
607, 12286952
608, 12069126
609, 12579784
612, 12154520
615, 12565412
616, 12161469
617, 11778218
618, 11869771
619, 12508060
620, 12574942
621, 12250711
622, 12564577
623, 12554566
624, 12435464
625, 12314479
626, 12802841
627, 12747054
628, 12133271
633, 12608217
638, 13028076
639, 12745347
640, 13025156
641, 12740000
642, 13012661
643, 13225036
644, 12476413
645, 13063520
648, 13299075
649, 13124083
650, 13111087
651, 13433832
654, 13251200
658, 13744056
659, 13139898
660, 13349228
663, 13496278
666, 13532642
667, 13625322
668, 13323561
669, 13352214
670, 13456710
673, 13824707
676, 13963593
677, 13729812
680, 13716853
681, 13992001
682, 14280928
683, 14206712
684, 13964116
685, 13251610
686, 13810561
687, 13562085
688, 13856432
689, 13790520
690, 14052464
691, 13875221
692, 13696341
693, 13654304
696, 13778550
697, 13611728
698, 13978619
699, 14026227
700, 14097976
701, 14604255
702, 14180604
703, 14772459
704, 14257417
707, 14522839
712, 13882804
713, 14671426
714, 13916123
715, 14485140
716, 14596643
717, 14470783
718, 14807431
719, 14320960
720, 14174324
721, 14511050
722, 14234946
726, 14777862
727, 14597663
728, 14692714
729, 14726095
732, 14502012
733, 15097464
734, 14969543
735, 15176174
736, 14605576
737, 14967270
738, 14312856
739, 14608507
740, 14654113
741, 14763672
742, 15045789
743, 15102514
744, 15253135
745, 15536115
746, 15157218
747, 15441587
760, 15150925
761, 15700166
762, 15175648
763, 15524000
764, 15358281
765, 15480077
766, 15972345
767, 15469705
768, 15918257
769, 15758202
770, 15413749
771, 15830537
772, 15809818
773, 15149716
774, 15302881
775, 15874883
776, 15750996
777, 16068984
780, 16321963
781, 15230322
782, 15593947
786, 15394323
787, 15917293
788, 15227749
789, 15857692
790, 16317269
793, 15978333
794, 16035616
795, 16192778
796, 15732136
797, 16006180
798, 16287699
801, 16592705
802, 16150043
806, 16177691
809, 16393961
810, 16428162
811, 16359085
812, 16827684
813, 16521956
814, 16727482
815, 16854988
816, 16957563
817, 16996808
818, 16351380
819, 16732344
820, 16244242
821, 16373936
822, 15948444
823, 16378075
824, 16723307
827, 16434885
830, 16540393
831, 16640912
832, 16629205
835, 16534034
836, 17175863
