5, 108831
7, 156002
9, 213529
11, 244346
13, 282615
15, 331902
17, 367432
5, 114725
7, 148365
9, 211918
11, 251503
13, 320667
15, 327064
17, 371202
19, 404654
21, 440583
27, 512093
29, 615775
31, 674621
37, 795682
39, 839992
41, 848853
43, 920978
45, 952247
47, 1033554
53, 1124460
55, 1193218
57, 1215711
59, 1269520
61, 1315250
63, 1350604
65, 1386103
71, 1513152
77, 1665009
79, 1698950
81, 1746150
83, 1793507
89, 1784867
91, 1980460
93, 1966826
95, 2019312
97, 2061885
99, 2074714
101, 2125527
103, 2220624
109, 2337248
111, 2415365
113, 2395326
115, 2365013
117, 2499275
119, 2500935
121, 2615937
135, 2815591
137, 2837603
139, 2877184
141, 2975764
143, 3070267
145, 2959701
147, 2667404
149, 3114608
151, 3316839
153, 3237279
155, 3332253
157, 3402869
159, 3213018
161, 3415705
163, 3468510
165, 3480246
167, 3568540
169, 3434942
171, 3647364
173, 3675400
175, 3562132
177, 3597907
179, 3639436
181, 3885203
183, 3920360
185, 3873903
191, 4020459
193, 4259434
195, 4187680
197, 4052507
199, 4293282
207, 4321351
213, 4510796
219, 4608510
221, 4545691
223, 4787720
225, 4820733
227, 4656538
229, 4838794
231, 5026245
233, 4878845
235, 4952295
237, 5179956
239, 5115164
241, 4823865
243, 5296964
253, 5331989
255, 5410188
257, 5493184
259, 5492028
261, 5534447
263, 5445114
269, 5780409
271, 5856705
273, 5664788
275, 6084583
277, 5846484
279, 5446652
281, 6103366
283, 6118239
285, 6082221
287, 6029697
293, 6008088
295, 6199870
297, 6249519
299, 6422042
301, 6347429
303, 6429115
305, 6450830
307, 6530426
309, 6567553
311, 6432442
313, 6600799
315, 6480317
317, 6747762
319, 6539818
325, 6755761
327, 6810556
329, 7017954
331, 7100077
333, 6959816
335, 6709107
337, 7149362
339, 6901999
341, 7320083
347, 7331482
349, 7485312
351, 7287511
353, 7115320
355, 7229277
357, 7476427
365, 7907637
367, 7757075
369, 7718174
371, 7895368
373, 7404423
379, 7984851
381, 7989458
383, 7975761
385, 8128516
387, 8343362
389, 8297341
391, 8129409
393, 8342499
395, 8254714
397, 8299634
399, 8506247
409, 9097059
419, 8731216
421, 8696188
423, 8995250
425, 9018324
427, 9091276
429, 9190639
431, 9099859
433, 9243229
435, 9112762
449, 9393947
451, 9558817
453, 9559876
455, 9627100
457, 9533180
459, 9955328
461, 9711668
463, 9346516
465, 9863892
467, 10035927
469, 9936066
471, 10073534
473, 10176035
475, 9987771
477, 10026114
479, 9611475
485, 10178820
487, 10490307
489, 10237267
491, 10548954
493, 10635458
499, 10312300
501, 10908327
503, 10550863
505, 10670670
511, 10630019
513, 10929507
515, 10937340
517, 10995561
523, 10941434
525, 10985693
527, 9636275
529, 11009140
531, 11177450
533, 10752691
535, 11215456
537, 11455708
539, 11696490
541, 11632873
543, 11398431
549, 11443760
551, 11610829
553, 11391257
555, 10969634
557, 11514211
563, 11991564
565, 11893429
567, 11625997
569, 12016575
571, 12254213
573, 11976749
575, 12249509
581, 12061251
583, 11792722
585, 12424247
587, 12502854
589, 12807155
591, 12592408
593, 12113335
595, 12833242
597, 12728845
599, 12386910
601, 12912849
603, 12838063
605, 12311270
607, 12904033
609, 12979523
611, 12755002
613, 13248567
615, 12690469
617, 13131279
619, 13194274
621, 13097190
623, 13079346
625, 13355369
631, 12876799
633, 11672980
635, 13755819
637, 13273385
639, 13748958
641, 13454760
643, 13575744
645, 13472619
647, 13637810
649, 13812900
651, 13847425
653, 14015787
655, 14003963
657, 14212885
667, 14244795
673, 14015400
675, 14359451
677, 13907993
679, 14318509
681, 14259274
683, 14451171
691, 14745554
693, 14296408
695, 14637683
697, 14612266
699, 14692059
701, 15059268
703, 14660574
705, 14994494
707, 14785642
709, 14588118
711, 15372726
713, 15351345
719, 15468554
721, 15265025
723, 15214388
725, 15121497
727, 15137175
729, 15392522
731, 14098743
733, 15621765
739, 15667260
741, 15448974
751, 15894525
753, 15832106
755, 16126259
757, 16038007
759, 15922009
761, 16154585
763, 15858366
765, 16274951
767, 16133129
769, 15765451
775, 16396332
777, 16722208
783, 16930135
785, 16577381
787, 16914605
789, 16793482
791, 16407185
793, 16841962
795, 16950219
797, 17061141
799, 17388517
801, 17051498
803, 17257811
805, 17358343
807, 17016835
809, 16687209
811, 17235313
813, 16888508
815, 17383027
817, 17252921
819, 16815549
827, 17370197
829, 17433652
831, 17445524
833, 17610287
835, 17321786
837, 17915451
839, 18112884
841, 17604253
843, 18015402
849, 18141171
851, 17366358
853, 17941416
855, 17958700
857, 17757196
863, 18530102
869, 18333322
871, 17881692
873, 18464817
875, 18605080
877, 18203124
879, 17832486
881, 18607648
883, 17475413
889, 18983402
891, 18697808
893, 18943648
895, 18925306
897, 18787294
899, 18600751
901, 19235550
903, 19611783
905, 19188917
907, 19000075
909, 18468634
911, 18638072
913, 19234143
915, 19093724
917, 19690080
919, 19253612
921, 19744422
923, 19231980
931, 19198282
933, 19819862
935, 20057448
937, 19156048
939, 20332023
941, 19822947
943, 19775024
945, 19990938
947, 19164217
949, 20171143
951, 20018826
953, 19950847
955, 20403404
963, 20602318
965, 20282652
967, 20678494
969, 20882852
971, 20343340
973, 20317305
975, 20713330
977, 20924013
979, 20639115
981, 20703040
983, 20648915
985, 20894073
991, 19962797
993, 20527308
995, 21437085
997, 20253158
999, 20730246
1005, 21352805
1007, 21597910
1009, 21419757
1011, 21089281
1013, 21183626
1015, 21804451
1017, 20983697
1019, 21337246
1021, 22178430
1023, 21857688
1025, 22592869
1031, 21952333
1033, 21759155
1035, 22199239
1037, 22708892
1039, 22402310
1041, 21620763
1043, 22829262
1045, 22597352
1047, 22789745
1049, 21261186
1051, 22051396
1053, 22599324
1055, 22601220
1057, 22136736
1063, 22446870
1065, 22486324
1077, 22961786
1083, 22776234
1085, 22410465
1095, 23804514
1097, 23651359
1099, 24496148
1101, 23849670
1103, 23679690
1119, 24160972
1125, 24212114
1127, 24196254
1129, 23419110
1131, 24685683
1133, 22241846
1135, 23361170
1137, 24127971
1139, 23968995
1141, 23934339
1147, 24517723
1149, 24818424
1151, 24735791
1153, 25171878
